Date,ExDividend,SplitRatio
24/01/2017,0,1
25/01/2017,0,1
26/01/2017,0,1
27/01/2017,0,1
30/01/2017,0,1
31/01/2017,0,1
01/02/2017,0,1
02/02/2017,0,1
03/02/2017,0,1
06/02/2017,0,1
07/02/2017,0,1
08/02/2017,0,1
09/02/2017,0,1
10/02/2017,0,1
13/02/2017,0,1
14/02/2017,0,1
15/02/2017,0,1
16/02/2017,0,1
17/02/2017,0,1
21/02/2017,0,1
22/02/2017,0,1
23/02/2017,0,1
24/02/2017,0,1
27/02/2017,0,1
28/02/2017,0,1
01/03/2017,0,1
02/03/2017,0,1
03/03/2017,0,1
06/03/2017,0,1
07/03/2017,0,1
08/03/2017,0,1
09/03/2017,0,1
10/03/2017,0,1
13/03/2017,0,1
11/07/2017,0,1
12/07/2017,0,1
13/07/2017,0,1
14/07/2017,0,1
17/07/2017,0,1
18/07/2017,0,1
19/07/2017,0,1
20/07/2017,0,1
21/07/2017,0,1
24/07/2017,0,1
25/07/2017,0,1
26/07/2017,0,1
27/07/2017,0,1
28/07/2017,0,1
31/07/2017,0,1
01/08/2017,0,1
02/08/2017,0,1
03/08/2017,0,1
04/08/2017,0,1
07/08/2017,0,1
08/08/2017,0,1
09/08/2017,0,1
10/08/2017,0,1
11/08/2017,0,1
14/08/2017,0,1
15/08/2017,0,1
16/08/2017,0,1
17/08/2017,0,1
18/08/2017,0,1
21/08/2017,0,1
22/08/2017,0,1
23/08/2017,0,1
24/08/2017,0,1
25/08/2017,0,1
28/08/2017,0,1
29/08/2017,0,1
30/08/2017,0,1
31/08/2017,0,1
01/09/2017,0,1
05/09/2017,0,1
06/09/2017,0,1
07/09/2017,0,1
08/09/2017,0,1
11/09/2017,0,1
11/10/2017,0,1
12/10/2017,0,1
13/10/2017,0,1
16/10/2017,0,1
17/10/2017,0,1
18/10/2017,0,1
19/10/2017,0,1
20/10/2017,0,1
23/10/2017,0,1
24/10/2017,0,1
25/10/2017,0,1
26/10/2017,0,1
27/10/2017,0,1
30/10/2017,0,1
31/10/2017,0,1
01/11/2017,0,1
02/11/2017,0,1
03/11/2017,0,1
06/11/2017,0,1
07/11/2017,0,1
09/11/2017,0,1
10/11/2017,0,1
13/11/2017,0,1
14/11/2017,0,1
15/11/2017,0,1
16/11/2017,0,1
17/11/2017,0,1
20/11/2017,0,1
21/11/2017,0,1
22/11/2017,0,1
24/11/2017,0,1
27/11/2017,0,1
28/11/2017,0,1
29/11/2017,0,1
30/11/2017,0,1
04/12/2017,0,1
05/12/2017,0,1
06/12/2017,0,1
07/12/2017,0,1
11/12/2017,0,1
12/12/2017,0,1
13/12/2017,0,1
14/12/2017,0,1
15/12/2017,0,1
19/12/2017,0,1
20/12/2017,0,1
21/12/2017,0,1
22/12/2017,0,1
26/12/2017,0,1
28/12/2017,0,1
29/12/2017,0,1